"daa_id","name","address","postal_address","phone","fax","website","email","officer","facilities","access","focus","quantity","enquiries","notes","holdings","guides","references","see_also","last_updated","n_id","public","state"
"1","Catholic Church Archdiocese of Canberra and Goulburn","Diocesan Chancery, Favier House, 1 Ballumbir Street, Braddon 2601","GPO Box 3089, Canberra 2601","(02) 6201-9800","(02) 6257-7410",,,"Chief Clerk","Open Mon-Fri 9am-5pm by appointment; closed weekends and public holidays. Reference assistance available in person. No copying services.","Prior approval of application by letter from Archbishop or Vicar-General required. Proof of identity required.","Church related and educational items.","10m (100% in-house).",,,"<ul> <li>Catholic Archdiocese of Canberra and Goulburn Correspondence and Minutes 1867-1995</li> </ul>",,,,"2010-10-11","643","1","ACT"
"2","Adolph Basser Library","Gordon Street, Acton 2601
","GPO Box 783, Canberra 2601","(02) 6247-9024","(02) 6257-4620","http://www.science.org.au/academy/basser/bass_lis.htm","Rosanne.Walker@science.org.au","Librarian","Open Mon-Wed 9am-5:30pm; closed Public Holidays. General reference assistance available. Copying services for books, journals, original records to A3, microfilms and photographs at cost.
","Advance notice of visit is advisable.
","History of science in Australia. The Library collects personal papers of prominent Australian scientists and records of scientific societies.
","230m (35% in-house).",,,"<ul>
	<li>Rivett, A C D: Papers 1907-1961 (4.4m).</li> 
	<li>Gilruth, J A: Papers 1890-1954 (0.16m).</li> 
	<li>Geological Society of Australia: Records 1953-(10m).</li> 
	<li>Australian Institute of Physics: Records 1923- (14.5m).</li> 
	<li>Australian Society for Parasitology: Records 1964- (10.4m).</li> 
	<li>Swan, J M: Papers 1943-1985 (7.2m).</li> 
	<li>Fenner, F J: Papers 1920- (5.75m).</li> 
	<li>Tate, R: Papers 1863-1894 (0.05m).</li> 
	<li>Wark, I W: Papers 1909-1985 (6.25m).</li> 
	<li>Titterton, E W: Papers 1937-1986 (17m).</li> 
	<li>Fairley, N H: Papers 1916-1971 (6.1m).</li> 
</ul>
","<ul>
	<li>Entries in National Library of Australia <em>Guide to Collections of Manuscripts Relating to Australia.</em></li> 
	<li>Guides produced by Australian Science Archives Project for Walter Geoffrey Duffield, Ronald Gordon Giovanelli, Andrew Crowther Hurley, Armin Aleksander Opik, Albert George Lloyd Rees, Ian William Wark.</li> 
	<li>King, Bill &amp; McCarthy, Gavan, <em>The records of Albert Cherbury David Rivett (1885-1961) and British Association for the Advancement of Science Australian meeting 1914</em> ASAP, 1988.</li> 
</ul>
","<ul>
	<li>Clayton, Rosanne, 'Basser Library Manuscripts listed recently' <em>Historical Records of Australian Science</em> 6(3)(Dec 1986): 423-5.</li> 
	<li>Clayton, Rosanne, 'The Adolph Basser Library' <em>Group for Scientific and Technological Collections Newsletter</em> 4 (March 1988): 3-4.</li> 
	<li>Clayton, Rosanne, 'Adolph Basser Library, Australian Academy of Science' editors Biskup, P and Goodman, D <em>Resources for Australian studies in the Australian Capital Territory</em>, Canberra College of Advanced Education, 1988:173-193.</li> 
	<li>Clayton, Rosanne, 'Basser Library manuscripts listed 1987-1988' <em>Historical Records of Australian Science</em> 7/4 (June 1989): 431-5.</li> 
	<li>Clayton, Rosanne and McCarthy, Gavan 'The records of E.W. Titterton, nuclear physicist' <em>Archives and Manuscripts</em> 20/1 (May 1992): 41-50.</li> 
</ul>
",,"2010-10-11","644","1","ACT"
"3","National Archives of Australia, National Office","Queen Victoria Terrace, Parkes, ACT 
","PO Box 7425, Canberra Mail Centre, ACT 2610 
","(02) 6212 3600","(02) 6212 3699 ","http://www.naa.gov.au","archives@naa.gov.au","Director-General","The Reading Room is open Mon-Sat 9am-5pm and Tues 9am-7pm; closed public holidays. General reference assistance is available. Copying services are available for all materials. The Archives galleries in Canberra display treasures from the collection and a program of temporary exhibitions. The galleries are open every day except Christmas Day and Good Friday. 
","A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material. 
","The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 
<p>
The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The <em>Archives Act 1983</em> allows access to Commonwealth records generally once they are thirty years old. 
</p>
","462,571 m (ACA Australian Archival Statistics, 1998)","National Reference Service, 1300 886 881",,"<ul>
	<li>The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	<p>
	In Canberra the Archives holds the records of the Federal Cabinet and the records of major Commonwealth departments like the Prime Minister's Department, the Department of Foreign Affairs and Trade, the Department of Defence and the Department of Immigration. In addition, this office of the National Archives holds the personal dossiers of all those who served in the Australian Army during the First World War. 
	</p>
	</li>
</ul>
",,,,"2010-10-11","645","1","ACT"
"4","Echuca Historical Society","1 Dickson Street, Echuca
","PO Box 451, Echuca 3564
","(03) 5480-1325",,,"eh.soc@bigpond.com","Research Officer","<p>
11am-3pm Mon to Sun. Special openings outside these hours by appointment. Assistance available by mail for a donation. Books, journals, photographs, newspapers, cemetery indexes, maps, pertaining to the Echuca / Moama (NSW) area.
</p>
<p>
Email research enquiries also accepted. First request $20 then $20 per hour thereafter.
</p>
","As per Hours &amp; Facilities.
","The Society relies on donations of photographs, manuscripts, and any items relating to the history of the Murray River boats and the local area.
",,,,,,,,"2010-10-11","646","1","VIC"
"5","Special Collections, Academy Library, UNSW@ADFA","Northcott Drive, Canberra 2600","As above","(02) 6268-6270","(02) 6247-2324","http://www.lib.adfa.edu.au/speccoll/speccoll.htm","specialcollections@adfa.edu.au","Co-ordinator, Special Collections","The Academy Library's Special Collections Reading Room is normally open Monday - Friday, 9 am - 5.00 pm throughout the year, except on public and university holidays. Readers planning to visit during ACT school holidays should confirm opening times with Special Collections staff in the Library by telephone on 02 6268 6270 or email specialcollections@adfa.edu.au.",,"Australian literary manuscripts; Australian military history manuscripts.",,,,"<ul> <li>Doug Robertson Maritime and Naval History Collection: Photographs, negatives, notebooks etc 1825-1982 (25m).</li> <li>Robert Adamson: Manuscripts, correspondence, notebooks 1970-1994 (2.7m).</li> <li>Kate Llewellyn: Manuscripts, diaries, correspondence 1975-1995 (5.45m).</li> <li>David Foster</li> <li>Alex Miller</li> <li>Glenda Adams</li> <li>Lily Brett</li> <li>Robert Gray</li> <li>Dorothy Porter</li> <li>Geoff Page</li> <li>John Forbes</li> <li>John Romeril</li> <li>Nick Enright</li> <li>Alma de Groen</li> </ul>","<ul> <li>Collection level descriptions of all UNSW@ADFA manuscript collections are available via the Library's catalogue, or by searching the National Library's Register of Australian Archives and Manuscripts (RAAM). A full alphabetical list of the Academy Library's archival collectiosn, and detailed online finding aids for some collections are available at http://www.lib.adfa.edu.au/speccoll/finding_aids/msindex.html</li> </ul>",,,"2010-10-11","647","1","ACT"
"6","Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS)","Lawson Crescent, Acton Peninsula, 2601","GPO Box 553, Canberra 2601","(02) 6246-1111","(02) 6261 4285","http://www.aiatsis.gov.au",,"Library Director","Open 9am-5pm Mon, Wed, Thu, Fri. Closed Tue. General reference assistance available. Copying services for books, journals, original records to A3, photographs and sound/video cassettes.","Advance notice of visits required to access special collections.","The Institute focuses on collecting materials about Aboriginal and Torres Strait Islander peoples.",,"Reference Staff (02) 6246-1182",,,"<ul> <li>Library Monthly Acquisitions Lists available from http://www.aiatsis.gov.au</li> <li>Manuscripts Finding Aids available from http://www.aiatsis.gov.au</li> </ul>",,,"2010-10-11","648","1","ACT"
"7","National Gallery of Australia Research Library","Parkes Place, Parkes 2600 
","GPO Box 1150, Canberra 2601 
","(02) 6240-6530","(02) 6273-2155","http://www.nga.gov.au/Research/Collection.cfm","Joye.Volker@nga.gov.au",,"Open Mon-Fri 9am-5pm for staff; 10am-4:45pm for approved readers; closed weekends and Public Holidays. General reference assistance available. Copying services for books, journals, original records to A3, microfilms, photographs and newspapers. 
","Telephone, mail, fax etc queries handled for all. Reader's ticket required for personal access [conditions apply] 
","<span style=""font-family: Arial; font-size: 11pt"">The National Gallery of Australia Research Library is actively seeking personal papers of significant Australian artists and key art professionals as part of its role to build a greater understanding of Australian art scene.</span> 
",,"Joye.Volker@nga.gov.au",,"<ul>
	<li><strong>Personal Papers:</strong> Marion Hall Best, Anton Bruehl, Peter Burns, James Cant &amp; Dora Chapman, Maximillian Feurring, Lindsay Bernard Hall, Helene Kirsova, James Mollison, Oliffe Richmond, Loudon Sainthill, Wes Stacey, John Lesley Wright</li>
	<li><strong>Organisational Papers:</strong> Art Association of Australia and New Zealand, Art Libraries Association (Australia &amp; New Zealand), Australian Gallery Directors’ Council, William Dobell Art Foundation, Print Council of Australia</li>
	<li><strong>Art Gallery Papers:</strong>  Australian Centre for Photography, Avago Gallery, Gallery A, Helen Maxwell Gallery, Josef Lebovic Gallery Susan Gillespie Gallery</li>
	<li><strong>Oral History:</strong> James Gleeson Interviews with Australian Artists, 1977-1980</li>
	<li><strong>Ephemera:</strong> 
	<ul>
		<li>Australian &amp; New Zealand Artists files</li>
		<li><span style=""font-family: Arial; font-size: 12pt"">International Art &amp; Artists Files</span></li>
	</ul>
	</li>
</ul>
",,,,"2010-10-11","649","1","ACT"
"8","Australian Dictionary of Biography","Coombs Building, Fellows Road, Acton 2601","Australian Dictionary of Biography, Research School of Social Sciences, Australian National University, Canberra ACT 0200","(02) 6249-2676 / 6249-3689","(02) 6257-1893","http://adb.anu.edu.au/","adb@coombs.anu.edu.au","General Editor","Open Mon-Fri 9am-4:30pm. General reference assistance available. Copying services for books, journals, original records to A3 and newspapers. Referral to paid researchers is available.","Advance notice of visit advisable. Researchers must sign the copyright/access agreement.","Biographical research on prominent and representative Australians.","220m (100% in-house).","Biographical Registrar",,"<ul> <li>Computer database containing references relating to over 20,000 individuals.</li> <li>Biographical card index consisting of an estimated 300,000 entries.</li> <li>Files relating to subjects appearing in the ADB, as well as those considered for inclusion.</li> <li>Obituaries of those who died in the period 1981 to the present.</li> </ul>",,,,"2010-10-11","650","1","ACT"
"9","Australian National University Institute of the Arts","Bauldissin Crescent, Acton 2601","PO Box 804, Canberra City 2601","(02) 6249-5852","(02) 6249-5722","http://www.anu.edu.au/ITA/",,"OIC Records Management","Open 9am-5pm by appointment; closed public holidays. General reference assistance available. Copying services for books, journals, photographs, maps and plans. Referral to paid researchers available.","Advance notice of visit required with details of research subject. Proof of identity required. Closed period of 5 to 15 years applies to most records. Access to records not normally available for research requires authorisation from the OIC Records Management.","To keep an accurate record of the history/dealings of the two schools involved. (90% in-house).",,,,"<ul> <li>Canberra School of Music: Speeches 1975-1992; Committee meetings 1976-1992; Personal history (academic and student) 1976-1992 (20m); Council papers/committee meetings 1975-1986.</li> <li>Canberra School of Art: Personal history (academic and student) 1975-1992 (20m); Correspondence files 1976-1986.</li> <li>ANU Institute of the Arts: Correspondence files 1986-1992; Council papers/committee meetings 1986-1992 (5m).</li> </ul>",,,,"2010-10-11","651","1","ACT"
"10","Australian National University Library, Rare Books and Manuscripts","Fellows Road, Acton, Canberra 2601",,"(02) 6249-3311","(02) 6249-0734","http://anulib.anu.edu.au/collections/rare.html","Dermid.McGrath@anu.edu.au","Senior Librarian, Social Sciences and Humanities","Open Mon-Fri 9am-5pm. No reference service available. Copying services available for original records to A3.","In some cases access can be gained by permission of donor only.",,,,,,,"<ul> <li>McGrath, Dermid, 'The Manuscripts Collections of the Australian National University Library' <em>Archives and Manuscripts</em>, 9/2 (December 1981): 28-34.</li> </ul>",,"2010-10-11","652","1","ACT"
